Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       63     0.00     0.00  std::_Tuple_impl<0ul, Trainee*, std::default_delete<Trainee> >::_M_head(std::_Tuple_impl<0ul, Trainee*, std::default_delete<Trainee> >&)
  0.00      0.00     0.00       63     0.00     0.00  std::__uniq_ptr_impl<Trainee, std::default_delete<Trainee> >::_M_ptr()
  0.00      0.00     0.00       63     0.00     0.00  Trainee*& std::__get_helper<0ul, Trainee*, std::default_delete<Trainee> >(std::_Tuple_impl<0ul, Trainee*, std::default_delete<Trainee> >&)
  0.00      0.00     0.00       63     0.00     0.00  std::tuple_element<0ul, std::tuple<Trainee*, std::default_delete<Trainee> > >::type& std::get<0ul, Trainee*, std::default_delete<Trainee> >(std::tuple<Trainee*, std::default_delete<Trainee> >&)
  0.00      0.00     0.00       61     0.00     0.00  CharacterFactory::BaseCharacter::show_status() const
  0.00      0.00     0.00       59     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       58     0.00     0.00  std::_Head_base<0ul, Villain*, false>::_M_head(std::_Head_base<0ul, Villain*, false>&)
  0.00      0.00     0.00       58     0.00     0.00  std::_Tuple_impl<0ul, Villain*, std::default_delete<Villain> >::_M_head(std::_Tuple_impl<0ul, Villain*, std::default_delete<Villain> >&)
  0.00      0.00     0.00       58     0.00     0.00  std::__uniq_ptr_impl<Villain, std::default_delete<Villain> >::_M_ptr()
  0.00      0.00     0.00       58     0.00     0.00  Villain*& std::__get_helper<0ul, Villain*, std::default_delete<Villain> >(std::_Tuple_impl<0ul, Villain*, std::default_delete<Villain> >&)
  0.00      0.00     0.00       58     0.00     0.00  std::tuple_element<0ul, std::tuple<Villain*, std::default_delete<Villain> > >::type& std::get<0ul, Villain*, std::default_delete<Villain> >(std::tuple<Villain*, std::default_delete<Villain> >&)
  0.00      0.00     0.00       58     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
